city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id
Norwich,CT,Connecticut,9011,New London,41.5495,-72.0882,204360,39556,544,polygon,TRUE,America/New_York,06380 06389 06360,1840004828
Santa Barbara,CA,California,6083,Santa Barbara,34.4285,-119.7202,203655,91930,1821,polygon,TRUE,America/Los_Angeles,93105 93101 93103 93109 93102 93106 93120 93121 93130 93140 93190,1840021829
Fargo,ND,North Dakota,38017,Cass,46.8654,-96.829,202146,120762,952,polygon,TRUE,America/Chicago,58102 58103 58105 58104 58106 58107 58108 58109 58121 58122 58124 58125 58126,1840000177
Aurora,IL,Illinois,17089,Kane,41.7638,-88.2901,201110,201110,1729,polygon,TRUE,America/Chicago,60506 60505 60504 60502 60503 60519 60507 60568 60569 60572 60598 60599,1840007034
Glendale,CA,California,6037,Los Angeles,34.1818,-118.2468,200831,200831,2547,polygon,TRUE,America/Los_Angeles,91210 91214 91046 91201 91204 91206 91208 91203 91202 91205 91207 91020 91209 91221 91222 91224 91225 91226,1840020483
Yonkers,NY,New York,36119,Westchester,40.9466,-73.8674,200807,200807,4304,polygon,TRUE,America/New_York,10708 10703 10701 10705 10704 10707 10710 10702,1840003478
Huntington Beach,CA,California,6059,Orange,33.696,-118.0023,200652,200652,2857,polygon,TRUE,America/Los_Angeles,92649 92646 92647 92648 90742 92605 92615,1840020578
Gainesville,FL,Florida,12001,Alachua,29.6814,-82.3454,198702,131591,820,polygon,TRUE,America/New_York,32608 32609 32612 32653 32603 32601 32607 32605 32602 32604 32610 32611 32614 32627 32635,1840014022
Huntington,WV,West Virginia,54011,Cabell,38.4109,-82.4344,198419,48113,1145,polygon,TRUE,America/New_York,25703 25702 25701 25705 25704 25706 25707 25708 25709 25710 25711 25712 25713 25714 25715 25716 25717 25718 25719 25720 25721 25722 25723 25724 25725 25726 25727 25728 25729 25755 25770 25771 25772 25773 25774 25775 25776 25777 25778 25779,1840006211
Olympia,WA,Washington,53067,Thurston,47.0417,-122.8958,194532,51202,1086,polygon,TRUE,America/Los_Angeles,98501 98502 98506 98504 98507 98508,1840019865
Salinas,CA,California,6053,Monterey,36.6881,-121.6316,193126,157218,2571,polygon,TRUE,America/Los_Angeles,93901 93905 93906 93902 93915,1840021632
Deltona,FL,Florida,12127,Volusia,28.9051,-81.2134,192730,90124,927,polygon,TRUE,America/New_York,32725 32738 32728 32739,1840015072
Waterbury,CT,Connecticut,9009,New Haven,41.5583,-73.0361,190855,108272,1465,polygon,TRUE,America/New_York,06708 06702 06704 06705 06706 06710 06701 06703 06720 06721 06722 06723 06724 06725 06726 06749,1840004851
Grand Prairie,TX,Texas,48113,Dallas,32.6869,-97.0209,190682,190682,1019,polygon,TRUE,America/Chicago,75052 75050 75051 75054 75053,1840020709
Erie,PA,Pennsylvania,42049,Erie,42.1167,-80.0731,190443,98593,1989,polygon,TRUE,America/New_York,16546 16510 16511 16508 16507 16503 16501 16504 16502 16512 16514 16515 16522 16530 16531 16534 16538 16541 16544 16550 16553 16565,1840000478
North Port,FL,Florida,12115,Sarasota,27.0577,-82.1976,190003,64274,249,polygon,TRUE,America/New_York,34286 34287 34288 34289 34293 34291 34266 34223 34290,1840015120
Overland Park,KS,Kansas,20091,Johnson,38.8871,-94.6871,188966,188966,971,polygon,TRUE,America/Chicago,66214 66210 66211 66212 66213 66221 66223 66209 66202 66207 66204 66062 66085 66224 66201 66222 66225 66250 66251 66276 66282 66283 66285 66286,1840003834
Hagerstown,MD,Maryland,24043,Washington,39.6401,-77.7217,186377,40452,1284,polygon,TRUE,America/New_York,21742 21740 21741 21747 21749,1840005613
Waco,TX,Texas,48309,McLennan,31.5597,-97.1882,185680,134432,583,polygon,TRUE,America/Chicago,76798 76710 76711 76712 76708 76701 76707 76706 76704 76702 76703 76714 76715 76716 76797 76799,1840022140
Spartanburg,SC,South Carolina,45083,Spartanburg,34.9437,-81.9256,185031,37876,739,polygon,TRUE,America/New_York,29302 29301 29307 29306 29304 29305 29319,1840015482
Cedar Rapids,IA,Iowa,19113,Linn,41.9667,-91.6781,184610,131127,715,polygon,TRUE,America/Chicago,52404 52405 52402 52401 52411 52403 52406 52407 52408 52409 52410 52497 52498 52499,1840000471
Tempe,AZ,Arizona,4013,Maricopa,33.3881,-111.9318,182498,182498,1762,polygon,TRUE,America/Phoenix,85281 85282 85283 85284 85280 85285 85287,1840021942
Newport News,VA,Virginia,51700,Newport News (city),37.1052,-76.5185,181825,181825,1019,polygon,TRUE,America/New_York,23601 23604 23605 23606 23607 23602 23603 23608 23609 23612 23628,1840003862
Lorain,OH,Ohio,39093,Lorain,41.4409,-82.184,179926,63730,1039,polygon,TRUE,America/New_York,44052 44053 44055,1840000644
Clarksville,TN,Tennessee,47125,Montgomery,36.5696,-87.3428,179367,150287,590,polygon,TRUE,America/Chicago,42223 37043 37042 37040 37041 37044,1840014421
Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464,178752,178752,1994,polygon,TRUE,America/New_York,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33302 33303 33307 33310 33318 33320 33329 33335 33336 33337 33338 33339 33340 33345 33346 33348 33349 33355 33359 33388 33394,1840014236
Gastonia,NC,North Carolina,37071,Gaston,35.2495,-81.1856,178477,75536,565,polygon,TRUE,America/New_York,28054 28056 28052 28053 28055,1840013468
Sioux Falls,SD,South Dakota,46099,Minnehaha,43.5382,-96.7315,177629,174360,898,polygon,TRUE,America/Chicago,57104 57105 57106 57107 57103 57108 57197 57110 57117 57101 57109 57118 57186 57193 57198,1840002648
High Point,NC,North Carolina,37081,Guilford,35.9899,-79.9937,177412,111223,778,polygon,TRUE,America/New_York,27282 27262 27263 27265 27260 27261 27264 27268,1840014479
Danbury,CT,Connecticut,9001,Fairfield,41.4016,-73.471,176649,84992,782,polygon,TRUE,America/New_York,06810 06811 06813 06814 06816 06817,1840004837
Rancho Cucamonga,CA,California,6071,San Bernardino,34.1246,-117.5662,176534,176534,1709,polygon,TRUE,America/Los_Angeles,91737 91701 91730 91739 91729,1840020411
Santa Cruz,CA,California,6087,Santa Cruz,36.9788,-122.0346,176037,64465,1953,polygon,TRUE,America/Los_Angeles,95065 95064 95060 95062 95061 95063 95067,1840021579
Oceanside,CA,California,6073,San Diego,33.2247,-117.3083,175464,175464,1642,polygon,TRUE,America/Los_Angeles,92058 92054 92057 92056 92049 92051 92052 92068,1840020623
Hemet,CA,California,6065,Riverside,33.7352,-116.9946,175066,84281,1168,polygon,TRUE,America/Los_Angeles,92545 92543 92546,1840020550
Garden Grove,CA,California,6059,Orange,33.7787,-117.9601,174858,174858,3759,polygon,TRUE,America/Los_Angeles,92844 92843 92840 92841 92845 92842 92846,1840020577
Vancouver,WA,Washington,53011,Clark,45.6352,-122.5972,174826,174826,1440,polygon,TRUE,America/Los_Angeles,98684 98664 98660 98661 98662 98663 98682 98683 98687,1840021189
Ontario,CA,California,6071,San Bernardino,34.0393,-117.6064,173212,173212,1339,polygon,TRUE,America/Los_Angeles,91762 91761 91764 91743 91758,1840020410
Vallejo,CA,California,6095,Solano,38.1134,-122.2359,172697,121299,1526,polygon,TRUE,America/Los_Angeles,94592 94591 94589 94590,1840021499
Nampa,ID,Idaho,16027,Canyon,43.5833,-116.5641,169761,91382,1136,polygon,TRUE,America/Boise,83651 83687 83686,1840020041
Elk Grove,CA,California,6067,Sacramento,38.416,-121.3841,169743,169743,1553,polygon,TRUE,America/Los_Angeles,95757 95758 95624 95759,1840020245
Pembroke Pines,FL,Florida,12011,Broward,26.0127,-80.3384,168587,168587,1978,polygon,TRUE,America/New_York,33029 33028 33024 33023 33027 33026 33025 33082 33084,1840015141
Medford,OR,Oregon,41029,Jackson,42.3372,-122.8537,167922,81636,1223,polygon,TRUE,America/Los_Angeles,97504 97501,1840020076
Corona,CA,California,6065,Riverside,33.8623,-117.5642,166785,166785,1658,polygon,TRUE,America/Los_Angeles,92882 92880 92881 92879 92877 92878,1840019305
Ocala,FL,Florida,12083,Marion,29.1803,-82.1487,165111,59253,508,polygon,TRUE,America/New_York,34475 34474 34471 34470 34477 34478 34483,1840015067
Fredericksburg,VA,Virginia,51630,Fredericksburg (city),38.2992,-77.4871,164610,28297,1046,polygon,TRUE,America/New_York,22401 22402 22403 22404 22412,1840003845
Peoria,AZ,Arizona,4013,Maricopa,33.7844,-112.2989,164173,164173,360,polygon,TRUE,America/Phoenix,85381 85383 85382 85373 85345 85342 85380 85385,1840020567
Frisco,TX,Texas,48085,Collin,33.1551,-96.8219,163656,163656,935,polygon,TRUE,America/Chicago,75034 75035 75033,1840020654
Marysville,WA,Washington,53061,Snohomish,48.0812,-122.1559,163547,67626,1261,polygon,TRUE,America/Los_Angeles,98271 98270,1840019789
Cary,NC,North Carolina,37183,Wake,35.7815,-78.8162,162320,162320,1128,polygon,TRUE,America/New_York,27518 27519 27511 27513 27512,1840016196
Murfreesboro,TN,Tennessee,47149,Rutherford,35.851,-86.4093,161634,131947,911,polygon,TRUE,America/Chicago,37132 37130 37128 37129 37127 37131 37133,1840014495
Muskegon,MI,Michigan,26121,Muskegon,43.228,-86.256,161058,38349,1041,polygon,TRUE,America/Detroit,49442 49440 49441 49443,1840002870
Springfield,IL,Illinois,17167,Sangamon,39.7713,-89.6538,160570,115715,745,polygon,TRUE,America/Chicago,62711 62712 62702 62703 62701 62707 62704 62705 62706 62708 62715 62716 62719 62722 62723 62726 62736 62739 62756 62757 62761 62762 62763 62764 62765 62766 62767 62769 62776 62777 62781 62786 62791 62794 62796,1840009517
Manchester,NH,New Hampshire,33011,Hillsborough,42.9844,-71.4445,159744,110506,1288,polygon,TRUE,America/New_York,03109 03104 03101 03103 03102 03105 03108 03111,1840002983
Hayward,CA,California,6001,Alameda,37.6327,-122.0776,158937,158937,1351,polygon,TRUE,America/Los_Angeles,94541 94542 94545 94544 94540 94543 94557,1840020293
Lafayette,IN,Indiana,18157,Tippecanoe,40.399,-86.8592,157955,71782,940,polygon,TRUE,America/Indiana/Indianapolis,47909 47905 47904 47901 47902 47903,1840008354
Port Arthur,TX,Texas,48245,Jefferson,29.8554,-93.9264,157732,55427,278,polygon,TRUE,America/Chicago,77655 77640 77642 77611 77641 77643,1840020919
Palmdale,CA,California,6037,Los Angeles,34.5945,-118.1058,157356,157356,573,polygon,TRUE,America/Los_Angeles,93550 93591 93552 93551 93590 93599,1840020502
Alexandria,VA,Virginia,51510,Alexandria (city),38.8184,-77.0861,155810,155810,3997,polygon,TRUE,America/New_York,22302 22301 22304 22305 22311 22314 20598 22313 22320 22331 22332 22333 22334,1840003837
Champaign,IL,Illinois,17019,Champaign,40.1148,-88.2731,155368,86637,1473,polygon,TRUE,America/Chicago,61822 61820 61821 61824 61825 61826,1840007239
Gainesville,GA,Georgia,13139,Hall,34.2903,-83.8299,154859,40000,468,polygon,TRUE,America/New_York,30501 30507 30504 30503,1840013612
Lakewood,CO,Colorado,8059,Jefferson,39.6977,-105.117,154393,154393,1390,polygon,TRUE,America/Denver,80465 80232 80235 80214 80215 80227 80226 80228,1840020198
Pasadena,TX,Texas,48201,Harris,29.6583,-95.1498,153351,153351,1361,polygon,TRUE,America/Chicago,77058 77059 77586 77506 77507 77504 77505 77502 77503 77501 77508,1840020930
Lake Charles,LA,Louisiana,22019,Calcasieu,30.203,-93.215,153097,76848,704,polygon,TRUE,America/Chicago,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840015039
Tuscaloosa,AL,Alabama,1125,Tuscaloosa,33.2349,-87.5268,153060,99543,623,polygon,TRUE,America/Chicago,35475 35476 35405 35404 35406 35401 35402 35403 35407 35486 35487,1840005563
Sunnyvale,CA,California,6085,Santa Clara,37.3846,-122.0261,152771,152771,2683,polygon,TRUE,America/Los_Angeles,95002 94085 94086 94087 94089 94088,1840021573
Pomona,CA,California,6037,Los Angeles,34.0585,-117.7625,152494,152494,2565,polygon,TRUE,America/Los_Angeles,91766 91767 91768 91769,1840020507
Binghamton,NY,New York,36007,Broome,42.1014,-75.9092,152392,45672,1681,polygon,TRUE,America/New_York,13904 13905 13901 13903,1840000460
Frederick,MD,Maryland,24021,Frederick,39.4334,-77.4154,152047,70060,1179,polygon,TRUE,America/New_York,21705 21703 21702 21701 21709,1840005710
Hollywood,FL,Florida,12011,Broward,26.0293,-80.1679,151998,151998,2151,polygon,TRUE,America/New_York,33019 33024 33021 33020 33023 33004 33316 33312 33022 33081 33083,1840015144
Kansas City,KS,Kansas,20209,Wyandotte,39.1234,-94.7443,151709,151709,469,polygon,TRUE,America/Chicago,66101 66102 66103 66104 66105 66106 66109 66115 66112 66111 66118 66110 66117 66119 66160,1840001626
Escondido,CA,California,6073,San Diego,33.1349,-117.0721,151613,151613,1579,polygon,TRUE,America/Los_Angeles,92029 92025 92026 92027 92030 92033 92046,1840020620
New Bedford,MA,Massachusetts,25005,Bristol,41.6697,-70.9428,149390,95032,1834,polygon,TRUE,America/New_York,02740 02744 02745 02746 02741 02742,1840003219
Topeka,KS,Kansas,20177,Shawnee,39.0347,-95.6955,149220,126808,804,polygon,TRUE,America/Chicago,66621 66622 66609 66608 66607 66606 66605 66604 66603 66611 66612 66614 66616 66601 66620 66624 66625 66626 66629 66636 66647 66667 66675 66683 66699,1840001621
Odessa,TX,Texas,48135,Ector,31.8831,-102.3407,149088,117871,1007,polygon,TRUE,America/Chicago,79761 79762 79763 79765 79760 79768 79769,1840020794
Warner Robins,GA,Georgia,13153,Houston,32.5981,-83.6528,148686,74388,795,polygon,TRUE,America/New_York,31088 31005 31093 31095 31099,1840015800
Joliet,IL,Illinois,17197,Will,41.5201,-88.1503,148262,148262,906,polygon,TRUE,America/Chicago,60421 60586 60432 60433 60431 60436 60435 60434,1840008192
Beaumont,TX,Texas,48245,Jefferson,30.0849,-94.1451,147935,118299,556,polygon,TRUE,America/Chicago,77708 77705 77706 77707 77701 77702 77703 77713 77704 77710 77720 77725 77726,1840019612
Panama City,FL,Florida,12005,Bay,30.1985,-85.6153,147788,37635,495,polygon,TRUE,America/Chicago,32401 32404 32405 32402 32406 32411 32412 32417,1840015034
Torrance,CA,California,6037,Los Angeles,33.8346,-118.3417,147195,147195,2775,polygon,TRUE,America/Los_Angeles,90277 90501 90503 90505 90504 90507 90508 90509 90510,1840021873
Elkhart,IN,Indiana,18039,Elkhart,41.6919,-85.962,147181,52221,792,polygon,TRUE,America/Indiana/Indianapolis,46514 46517 46516 46515,1840008187
Naperville,IL,Illinois,17043,DuPage,41.7483,-88.1656,147122,147122,1469,polygon,TRUE,America/Chicago,60540 60563 60564 60565 60566 60567,1840008143
Paterson,NJ,New Jersey,34031,Passaic,40.9147,-74.1624,147000,147000,6734,polygon,TRUE,America/New_York,07522 07524 07514 07513 07505 07504 07501 07503 07502 07509 07510 07533 07543 07544,1840000838
Charleston,WV,West Virginia,54039,Kanawha,38.3484,-81.6323,146462,49138,602,polygon,TRUE,America/New_York,25305 25304 25303 25302 25301 25311 25312 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25356 25357 25358 25360 25361 25362 25364 25365 25375 25387 25389 25392 25396,1840006196
Leesburg,FL,Florida,12069,Lake,28.7674,-81.8983,146398,22419,272,polygon,TRUE,America/New_York,34748 34762 34736 34749 34789,1840015083
Houma,LA,Louisiana,22109,Terrebonne,29.5799,-90.7058,146174,34024,910,polygon,TRUE,America/Chicago,70363 70360 70361,1840015063
Fairfield,CA,California,6095,Solano,38.2593,-122.0319,145665,114756,1083,polygon,TRUE,America/Los_Angeles,94534 94535 94533 94585,1840020253
Mesquite,TX,Texas,48113,Dallas,32.7621,-96.5888,143736,143736,1174,polygon,TRUE,America/Chicago,75149 75150 75181 75185 75187,1840020713
Merced,CA,California,6047,Merced,37.3057,-120.4779,143272,82594,1372,polygon,TRUE,America/Los_Angeles,95348 95340 95341 95343,1840020313
Midland,TX,Texas,48329,Midland,32.0278,-102.1107,142680,134610,711,polygon,TRUE,America/Chicago,79706 79707 79705 79703 79701 79702 79704 79708 79710 79711 79712,1840020792
Pasadena,CA,California,6037,Los Angeles,34.1598,-118.1389,142059,142059,2386,polygon,TRUE,America/Los_Angeles,91101 91106 91104 91105 91103 91107 91102 91109 91110 91114 91115 91116 91117 91121 91123 91124 91125 91126 91129 91182 91184 91188 91189 91199,1840020505
Bellevue,WA,Washington,53033,King,47.5953,-122.155,141400,141400,1630,polygon,TRUE,America/Los_Angeles,98004 98005 98006 98007 98008 98009 98015,1840018417
Pueblo,CO,Colorado,8101,Pueblo,38.2701,-104.613,141280,110291,794,polygon,TRUE,America/Denver,81004 81005 81003 81001 81008 81002 81009 81010 81011 81012,1840020255
Tyler,TX,Texas,48423,Smith,32.3184,-95.3065,140857,104798,714,polygon,TRUE,America/Chicago,75709 75702 75703 75701 75710 75711 75712 75713 75798 75799,1840022076
Fullerton,CA,California,6059,Orange,33.8841,-117.9279,140721,140721,2422,polygon,TRUE,America/Los_Angeles,92832 92835 92833 92831 92834 92836 92837 92838,1840020576
Orange,CA,California,6059,Orange,33.8038,-117.8219,140504,140504,2139,polygon,TRUE,America/Los_Angeles,92868 92869 92866 92867 92865 92856 92857 92859 92863 92864,1840020582
Santa Maria,CA,California,6083,Santa Barbara,34.9334,-120.4433,139270,106290,1801,polygon,TRUE,America/Los_Angeles,93454 93455 93458 93456,1840021830
Columbia,MO,Missouri,29019,Boone,38.9475,-92.3263,138675,120612,721,polygon,TRUE,America/Chicago,65202 65203 65201 65215 65205 65211 65212 65216 65217 65218,1840007391
Miramar,FL,Florida,12011,Broward,25.9773,-80.3357,138449,138449,1819,polygon,TRUE,America/New_York,33029 33023 33027 33025,1840015137
Yuma,AZ,Arizona,4027,Yuma,32.599,-114.5489,137936,94906,303,polygon,TRUE,America/Phoenix,85365 85364 85369,1840021998
Athens,GA,Georgia,13059,Clarke,33.9508,-83.3689,137582,123371,409,polygon,TRUE,America/New_York,30601 30622 30602 30605 30606 30607 30609 30683 30603 30604 30608 30612,1840029463
Harlingen,TX,Texas,48061,Cameron,26.1914,-97.6977,137119,65539,633,polygon,TRUE,America/Chicago,78550 78552 78551 78553,1840021036
Thornton,CO,Colorado,8001,Adams,39.9202,-104.9445,136703,136703,1478,polygon,TRUE,America/Denver,80260 80233 80241 80023 80229 80602 80614,1840021422
West Valley City,UT,Utah,49035,Salt Lake,40.6889,-112.0115,136574,136574,1486,polygon,TRUE,America/Denver,84119 84120 84128 84118 84125 84126 84127 84130 84131 84170,1840021389
Olathe,KS,Kansas,20091,Johnson,38.884,-94.8194,135473,135473,865,polygon,TRUE,America/Chicago,66062 66061 66051 66063,1840003833
Hampton,VA,Virginia,51650,Hampton (city),37.0551,-76.3629,135410,135410,1015,polygon,TRUE,America/New_York,23666 23664 23665 23651 23605 23661 23663 23669 23630 23667 23668 23670 23681,1840003866
Grand Junction,CO,Colorado,8077,Mesa,39.0881,-108.5675,135389,61881,613,polygon,TRUE,America/Denver,81505 81507 81506 81504 81501 81502,1840020230
Warren,MI,Michigan,26099,Macomb,42.4934,-83.027,135125,135125,1517,polygon,TRUE,America/Detroit,48093 48091 48092 48089 48088 48397 48090,1840002418
Bloomington,IL,Illinois,17113,McLean,40.4756,-88.9698,135015,78005,1103,polygon,TRUE,America/Chicago,61701 61705 61704 61702 61709 61710 61791 61799,1840007207
Las Cruces,NM,New Mexico,35013,Doña Ana,32.3265,-106.7893,134050,101759,510,polygon,TRUE,America/Denver,88012 88011 88005 88007 88001 88006 88013,1840020683
Yakima,WA,Washington,53077,Yakima,46.5926,-120.5492,133687,93986,1313,polygon,TRUE,America/Los_Angeles,98901 98903 98902 98908 98904 98907,1840021154
Carrollton,TX,Texas,48113,Dallas,32.9885,-96.9001,133351,133351,1419,polygon,TRUE,America/Chicago,75007 75006 75010 75011,1840019436
Mauldin,SC,South Carolina,45045,Greenville,34.7864,-82.2997,132708,25188,983,polygon,TRUE,America/New_York,29662 29607,1840015476
Surprise,AZ,Arizona,4013,Maricopa,33.6802,-112.4525,132677,132677,474,polygon,TRUE,America/Phoenix,85361 85379 85388 85387 85374 85375 85378,1840021941
Roseville,CA,California,6061,Placer,38.7683,-121.3164,132671,132671,1213,polygon,TRUE,America/Los_Angeles,95661 95747 95678,1840020233
Sterling Heights,MI,Michigan,26099,Macomb,42.581,-83.0304,132427,132427,1400,polygon,TRUE,America/Detroit,48310 48313 48312 48314 48311,1840003094
Greeley,CO,Colorado,8123,Weld,40.415,-104.7697,131900,103990,839,polygon,TRUE,America/Denver,80631 80634 80632 80633 80638 80639,1840020149
Racine,WI,Wisconsin,55101,Racine,42.7274,-87.8135,131517,77571,1933,polygon,TRUE,America/Chicago,53405 53404 53406 53403 53402 53401 53407 53408,1840002493
Coral Springs,FL,Florida,12011,Broward,26.2702,-80.2593,130059,130059,2110,polygon,TRUE,America/New_York,33071 33076 33065 33067,1840015134
Stamford,CT,Connecticut,9001,Fairfield,41.1035,-73.5583,129113,129113,1325,polygon,TRUE,America/New_York,06906 06907 06905 06902 06903 06901 06904 06910 06911 06912 06913 06914 06921 06926 06927,1840004841
Elizabeth,NJ,New Jersey,34039,Union,40.6655,-74.1918,128640,128640,4032,polygon,TRUE,America/New_York,07208 07202 07201 07206 07207,1840003613
Kent,WA,Washington,53033,King,47.3887,-122.2128,127514,127514,1459,polygon,TRUE,America/Los_Angeles,98031 98030 98032 98042 98035 98064 98089,1840018424
Greenville,NC,North Carolina,37147,Pitt,35.5958,-77.3764,127464,91495,1015,polygon,TRUE,America/New_York,27834 27858 27833 27835 27836,1840013407
Simi Valley,CA,California,6111,Ventura,34.2663,-118.749,127308,126327,1175,polygon,TRUE,America/Los_Angeles,93065 93063 93062 93094 93099,1840021843
Boulder,CO,Colorado,8013,Boulder,40.0274,-105.2514,127190,108090,1678,polygon,TRUE,America/Denver,80310 80304 80305 80302 80303 80301 80306 80307 80308 80309 80314,1840018774
Johnson City,TN,Tennessee,47179,Washington,36.3404,-82.3803,127134,66677,599,polygon,TRUE,America/New_York,37614 37615 37601 37604 37602 37605 37684,1840014462
Burlington,NC,North Carolina,37001,Alamance,36.0761,-79.4692,126491,52709,696,polygon,TRUE,America/New_York,27217 27215 27216,1840013362
Santa Clara,CA,California,6085,Santa Clara,37.3646,-121.9679,125948,125948,2641,polygon,TRUE,America/Los_Angeles,95054 95050 95051 95053 95052 95055 95056,1840021571
Fort Smith,AR,Arkansas,5131,Sebastian,35.3494,-94.3695,125699,88133,538,polygon,TRUE,America/Chicago,72901 72903 72904 72908 72923 72916 72902 72905 72906 72913 72914 72917 72918 72919,1840013456
Kenosha,WI,Wisconsin,55059,Kenosha,42.5861,-87.8755,124580,99631,1391,polygon,TRUE,America/Chicago,53144 53140 53142 53143 53141 53171,1840003160
Bellingham,WA,Washington,53073,Whatcom,48.7534,-122.4683,123933,87574,1249,polygon,TRUE,America/Los_Angeles,98229 98225 98226 98228,1840018346
Lynchburg,VA,Virginia,51680,Lynchburg (city),37.4004,-79.1911,123795,80212,630,polygon,TRUE,America/New_York,24504 24502 24503 24501 24505 24506 24513 24514 24515,1840003855
South Lyon,MI,Michigan,26125,Oakland,42.4613,-83.6526,123555,11713,1211,polygon,TRUE,America/Detroit,48178,1840002432
Billings,MT,Montana,30111,Yellowstone,45.7892,-108.5498,121550,110323,985,polygon,TRUE,America/Denver,59106 59105 59102 59101 59104 59107 59108 59115 59116 59117,1840018496
Berkeley,CA,California,6001,Alameda,37.8723,-122.276,121240,121240,4472,polygon,TRUE,America/Los_Angeles,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712,1840018914
Round Rock,TX,Texas,48491,Williamson,30.5253,-97.6659,120892,120892,1315,polygon,TRUE,America/Chicago,78681 78664 78665 78680 78682 78683,1840020879
Duluth,MN,Minnesota,27137,St. Louis,46.7797,-92.1334,120418,86293,492,polygon,TRUE,America/Chicago,55803 55802 55806 55805 55804 55808 55810 55811 55812 55807 55801 55815 55816,1840007685
Redding,CA,California,6089,Shasta,40.5698,-122.365,120288,91808,594,polygon,TRUE,America/Los_Angeles,96002 96003 96001,1840020141
Yuba City,CA,California,6101,Sutter,39.1357,-121.6381,120159,66845,1729,polygon,TRUE,America/Los_Angeles,95991 95993,1840021463
Saginaw,MI,Michigan,26145,Saginaw,43.4199,-83.95,120088,48984,1105,polygon,TRUE,America/Detroit,48601 48602 48607 48605 48606 48608 48663,1840002813
Leominster,MA,Massachusetts,25027,Worcester,42.5209,-71.7717,119538,41663,558,polygon,TRUE,America/New_York,1453,1840000437
Seaside,CA,California,6053,Monterey,36.6224,-121.8191,118670,34312,1433,polygon,TRUE,America/Los_Angeles,93955,1840021634
Monroe,LA,Louisiana,22073,Ouachita,32.5184,-92.0775,117673,49297,649,polygon,TRUE,America/Chicago,71209 71203 71202 71201 71207 71210 71211 71212 71213 71217,1840014881
Arvada,CO,Colorado,8059,Jefferson,39.8321,-105.1508,117453,117453,1182,polygon,TRUE,America/Denver,80005 80004 80007 80003 80002 80403 80001 80006,1840018788
Independence,MO,Missouri,29095,Jackson,39.0871,-94.3503,117030,117030,580,polygon,TRUE,America/Chicago,64054 64055 64056 64057 64050 64052 64053 64015 64016 64051,1840008534
Iowa City,IA,Iowa,19103,Johnson,41.6558,-91.5304,116891,74398,1109,polygon,TRUE,America/Chicago,52245 52246 52240 52242 52243 52244,1840000532
Kingsport,TN,Tennessee,47163,Sullivan,36.522,-82.5452,116745,52806,381,polygon,TRUE,America/New_York,37660 37665 37664 37663 37662 37669,1840014425
Dover,DE,Delaware,10001,Kent,39.16,-75.5204,116114,37786,629,polygon,TRUE,America/New_York,19902 19901 19904 19903 19905 19906,1840005810
El Monte,CA,California,6037,Los Angeles,34.0739,-118.0291,115807,115807,4675,polygon,TRUE,America/Los_Angeles,91732 91731 91733 91734 91735,1840020480
Rock Hill,SC,South Carolina,45091,York,34.9413,-81.026,115755,72937,759,polygon,TRUE,America/New_York,29732 29733 29730 29731 29734,1840014618
Abilene,TX,Texas,48441,Taylor,32.4543,-99.7384,115285,122225,442,polygon,TRUE,America/Chicago,79607 79605 79699 79602 79601 79606 79603 79604 79608 79697 79698,1840019476
Rochester,MN,Minnesota,27109,Olmsted,44.0152,-92.4776,114976,114011,806,polygon,TRUE,America/Chicago,55902 55901 55906 55904 55905 55903,1840008987
Norman,OK,Oklahoma,40027,Cleveland,35.2335,-97.3471,114444,122180,263,polygon,TRUE,America/Chicago,73019 73026 73072 73071 74857 73069 73068 73070,1840020451
Clearwater,FL,Florida,12103,Pinellas,27.9787,-82.7623,114361,114361,1708,polygon,TRUE,America/New_York,33759 33756 33755 33763 33761 33767 33764 33765 33757 33758 33766 33769,1840015110
Utica,NY,New York,36065,Oneida,43.0961,-75.226,114350,60652,1397,polygon,TRUE,America/New_York,13501 13502 13503 13504 13505 13599,1840002746
Bloomington,IN,Indiana,18105,Monroe,39.1637,-86.5257,114140,84465,1402,polygon,TRUE,America/Indiana/Indianapolis,47408 47401 47403 47404 47405 47406 47402 47407,1840007376
Carlsbad,CA,California,6073,San Diego,33.1246,-117.2836,113952,113952,1166,polygon,TRUE,America/Los_Angeles,92008 92009 92011 92010 92013 92018,1840019352
Westminster,CO,Colorado,8001,Adams,39.8837,-105.0627,113875,113875,1387,polygon,TRUE,America/Denver,80030 80031 80234 80005 80003 80020 80021 80035 80036,1840021423
Texas City,TX,Texas,48167,Galveston,29.4127,-94.9658,113847,48262,289,polygon,TRUE,America/Chicago,77591 77590 77539 77554 77592,1840022234
West Jordan,UT,Utah,49035,Salt Lake,40.6024,-112.0008,113699,113699,1358,polygon,TRUE,America/Denver,84088 84081 84084,1840021388
